target,n_tgt,acc,f1_macro,recall_macro,train_time_s,infer_time_s,estimator,cov_estimator,half_window,label_target,band_lo,band_hi
subject_01,1200,0.7125,0.7040301231563543,0.7069444444444445,623.151047458,18.48075433400004,FgMDM,lwf,10,arousal,15,36
subject_02,1200,0.7533333333333333,0.7477838780500967,0.7538194444444444,631.0903566669999,17.282316833000095,FgMDM,lwf,10,arousal,15,36
subject_03,1200,0.6141666666666666,0.5852217712284558,0.7119791666666666,622.997217958,17.82050320799999,FgMDM,lwf,10,arousal,15,36
subject_04,1200,0.745,0.7446872418712923,0.76875,629.3318709170001,18.018056375000015,FgMDM,lwf,10,arousal,15,36
subject_05,1200,0.835,0.8349995416653935,0.8371762740183792,621.5777349590003,19.205809584000235,FgMDM,lwf,10,arousal,15,36
subject_06,1200,0.735,0.7345014527279001,0.7452685421994885,616.5860199170002,17.942627165999966,FgMDM,lwf,10,arousal,15,36
subject_07,1200,0.8541666666666666,0.849236598748951,0.8628888888888888,619.5686107500001,17.22601554100038,FgMDM,lwf,10,arousal,15,36
subject_08,1200,0.7825,0.7775503405994066,0.7840277777777778,617.7740415409999,20.184247542000776,FgMDM,lwf,10,arousal,15,36
subject_09,1200,0.7875,0.7822112109981915,0.7984444444444445,612.9895694999996,17.925664332999986,FgMDM,lwf,10,arousal,15,36
subject_10,1200,0.8016666666666666,0.7997301686586129,0.7998316498316498,611.4067184999994,18.2766783750003,FgMDM,lwf,10,arousal,15,36
subject_11,1200,0.7291666666666666,0.7260002571382203,0.7491111111111111,613.3739343749994,17.93120354199982,FgMDM,lwf,10,arousal,15,36
subject_12,1200,0.6991666666666667,0.6486546766966078,0.7839105339105339,614.9424776250007,19.951798791999863,FgMDM,lwf,10,arousal,15,36
subject_13,1200,0.6825,0.6205100537444751,0.7834967320261438,610.42886,17.70872212499853,FgMDM,lwf,10,arousal,15,36
subject_14,1200,0.6775,0.6617426082674943,0.6859924026590694,614.1464907080008,17.2473728749992,FgMDM,lwf,10,arousal,15,36
subject_15,1200,0.8383333333333334,0.83771620412067,0.83734335839599,619.9661122080015,19.581212874998528,FgMDM,lwf,10,arousal,15,36
subject_16,1200,0.7983333333333333,0.7983193277310925,0.7983333333333333,608.246124457999,17.840688333999424,FgMDM,lwf,10,arousal,15,36
subject_17,1200,0.7916666666666666,0.7857142857142857,0.8,615.069343833,20.19033833300091,FgMDM,lwf,10,arousal,15,36
subject_18,1200,0.72,0.704360679970436,0.7066666666666667,617.1098675840003,18.406275875000574,FgMDM,lwf,10,arousal,15,36
subject_19,1200,0.7808333333333334,0.7686852954649566,0.7984330484330484,608.994511334,18.782498541999303,FgMDM,lwf,10,arousal,15,36
subject_20,1200,0.6733333333333333,0.6198787878787879,0.6696535244922341,610.2429803329997,17.83026558399979,FgMDM,lwf,10,arousal,15,36
subject_21,1200,0.7283333333333334,0.6815369586453923,0.7786458333333334,614.6632259160015,17.136683208998875,FgMDM,lwf,10,arousal,15,36
subject_22,1200,0.7316666666666667,0.7196945076373091,0.7253333333333334,612.5435971250008,17.198661458998686,FgMDM,lwf,10,arousal,15,36
subject_23,1200,0.77,0.76287573313783,0.8083570750237417,611.7069084170016,17.81112120800026,FgMDM,lwf,10,arousal,15,36
subject_24,1200,0.6741666666666667,0.619457004399927,0.7406204906204906,610.6135195839997,17.869721875000323,FgMDM,lwf,10,arousal,15,36
subject_25,1200,0.7475,0.7191928880733435,0.7849999999999999,617.6361422499995,17.333312374999878,FgMDM,lwf,10,arousal,15,36
subject_26,1200,0.7633333333333333,0.7632386287848473,0.7778346121057118,611.4206322500013,19.109564000002138,FgMDM,lwf,10,arousal,15,36
subject_27,1200,0.8408333333333333,0.8305955394593396,0.8601614434947769,610.7930935419972,18.435480208001536,FgMDM,lwf,10,arousal,15,36
subject_28,1200,0.7541666666666667,0.7533979189292175,0.7541666666666667,614.0051094160008,17.871478083998227,FgMDM,lwf,10,arousal,15,36
subject_29,1200,0.7783333333333333,0.7686091321102673,0.8052231718898386,611.4883970419978,19.176357416999963,FgMDM,lwf,10,arousal,15,36
subject_30,1200,0.7416666666666667,0.741660208171871,0.7416666666666667,607.8119183749986,18.13902962499924,FgMDM,lwf,10,arousal,15,36
subject_31,1200,0.8583333333333333,0.8581595788173846,0.8583333333333334,607.836222416001,18.302760541999305,FgMDM,lwf,10,arousal,15,36
subject_32,1200,0.7616666666666667,0.7479435957696827,0.7956349206349207,613.1674695840011,17.751812875001633,FgMDM,lwf,10,arousal,15,36
