target,n_tgt,acc,f1_macro,recall_macro,train_time_s,infer_time_s,estimator,cov_estimator,half_window,label_target,band_lo,band_hi
subject_01,1200,0.7233333333333334,0.7231110530398014,0.7237259816207184,607.942492542,18.46112525000001,FgMDM,lwf,10,valence,15,36
subject_02,1200,0.8241666666666667,0.8192965841202234,0.8353333333333333,619.0612711660001,17.72356641600004,FgMDM,lwf,10,valence,15,36
subject_03,1200,0.7925,0.7907092560722684,0.7911616161616162,611.940453166,17.48122037500002,FgMDM,lwf,10,valence,15,36
subject_04,1200,0.775,0.7740938653934113,0.7940972222222222,608.559046417,17.103107959000226,FgMDM,lwf,10,valence,15,36
subject_05,1200,0.755,0.7514204545454546,0.7614583333333333,609.4333330420004,19.85803720900003,FgMDM,lwf,10,valence,15,36
subject_06,1200,0.7133333333333334,0.6853265194734708,0.7522222222222221,621.633462625,17.877631041999848,FgMDM,lwf,10,valence,15,36
subject_07,1200,0.8125,0.7968566959418739,0.8351190476190476,613.3365197089997,17.54454233300021,FgMDM,lwf,10,valence,15,36
subject_08,1200,0.7883333333333333,0.7864732783357246,0.7868686868686869,606.0771354999997,19.37509837500056,FgMDM,lwf,10,valence,15,36
subject_09,1200,0.8141666666666667,0.8136198220473263,0.8134920634920635,608.9356857080002,17.43371979099993,FgMDM,lwf,10,valence,15,36
subject_10,1200,0.9258333333333333,0.9258147354996635,0.9258333333333333,607.6140549170004,18.495123165999757,FgMDM,lwf,10,valence,15,36
subject_11,1200,0.7341666666666666,0.7314360803138016,0.7437499999999999,608.9379691249997,17.722581084000012,FgMDM,lwf,10,valence,15,36
subject_12,1200,0.8133333333333334,0.8132814670741872,0.8145363408521303,625.5691710420006,18.74102162500003,FgMDM,lwf,10,valence,15,36
subject_13,1200,0.835,0.8337512874479422,0.8346801346801347,607.3349497499994,17.373931459000232,FgMDM,lwf,10,valence,15,36
subject_14,1200,0.8441666666666666,0.8440487285176081,0.8441666666666667,608.2887100000007,17.093180667001434,FgMDM,lwf,10,valence,15,36
subject_15,1200,0.8925,0.8924999253471704,0.8925000000000001,611.265460999999,20.220212958000047,FgMDM,lwf,10,valence,15,36
subject_16,1200,0.8133333333333334,0.810289534305976,0.8337777777777777,620.1733866659997,18.0487023329988,FgMDM,lwf,10,valence,15,36
subject_17,1200,0.7325,0.7313356010319726,0.7332491582491583,610.6906820830009,19.192280290999406,FgMDM,lwf,10,valence,15,36
subject_18,1200,0.865,0.8566265948816284,0.8708791208791209,611.9391127500003,18.187731332998737,FgMDM,lwf,10,valence,15,36
subject_19,1200,0.8391666666666666,0.8371050271667457,0.8412190963341859,609.8440820839987,19.146246833999612,FgMDM,lwf,10,valence,15,36
subject_20,1200,0.8858333333333334,0.885018803342288,0.893307757885763,619.8554223749998,18.011999542000922,FgMDM,lwf,10,valence,15,36
subject_21,1200,0.7425,0.7401131923393668,0.7395572263993317,605.0526288750007,17.922465834000832,FgMDM,lwf,10,valence,15,36
subject_22,1200,0.7591666666666667,0.7591383988815354,0.7591666666666667,604.6157553330013,17.70881449999979,FgMDM,lwf,10,valence,15,36
subject_23,1200,0.76,0.7481783736519965,0.7796771130104463,607.7347941250009,18.941061958001228,FgMDM,lwf,10,valence,15,36
subject_24,1200,0.8691666666666666,0.868965656343655,0.8693817878028405,611.4283181249994,17.44411458399918,FgMDM,lwf,10,valence,15,36
subject_25,1200,0.73,0.7297289782253871,0.7302422723475355,611.6058452090001,17.822391499999867,FgMDM,lwf,10,valence,15,36
subject_26,1200,0.705,0.6895136298254025,0.701098901098901,610.2541570410012,19.893811333002304,FgMDM,lwf,10,valence,15,36
subject_27,1200,0.7675,0.7437967515448336,0.8205555555555555,614.6465725420021,18.71618212500107,FgMDM,lwf,10,valence,15,36
subject_28,1200,0.8175,0.810727051555272,0.8215555555555556,625.5697331250012,17.584028958001,FgMDM,lwf,10,valence,15,36
subject_29,1200,0.885,0.8828111731337538,0.8843989769820972,608.5036546670017,20.36332841699914,FgMDM,lwf,10,valence,15,36
subject_30,1200,0.7658333333333334,0.7494335876399125,0.7707027540360873,621.4980306670004,18.92074529200181,FgMDM,lwf,10,valence,15,36
subject_31,1200,0.74,0.7314596716119018,0.7543956043956044,620.7757223750014,18.713731832998747,FgMDM,lwf,10,valence,15,36
subject_32,1200,0.7266666666666667,0.7253843642117778,0.7266666666666667,608.8608035840007,17.999888791000558,FgMDM,lwf,10,valence,15,36
